Timestamp,Faixa etária ,Gênero,Região do Brasil,Qual seu gênero musical favorito?,Quais gêneros musicais você gosta e/ou escuta ativamente? Marque uma ou mais opções.,"Quais gêneros musicais você não gosta ou evita ouvir? Marque uma ou mais opções.
(Selecione apenas gêneros que você já conhece ou já ouviu anteriormente.)",O que mais te faz gostar de um gênero musical? ,O que mais te faz NÃO gostar de um gênero musical?,Você costuma ouvir apenas um gênero musical ou vários?,Com que frequência você escuta música?,Onde você mais descobre músicas novas?,Você costuma explorar músicas novas com qual frequência?,Você prefere músicas:
5/3/2026 14:02:45,16-18,Feminino,Centro-Oeste,Gospel/Religiosa,"Pop, Gospel/Religiosa, Clássica/Instrumental","Funk, Rap/Trap/HipHop, Rock/Metal",Letra,Não me identifico,Poucos gêneros,1-2 horas,"Spotify, Apple Music e outras plataformas musicais.",As vezes,Ambos
5/3/2026 14:03:50,45+,Masculino,Sudeste,Rock/Metal,Rock/Metal,"Sertanejo/Sertanejo Universitário, Funk, Eletrônica/Dubstep/Techno/EDM, Pagode/Samba, Latina/Reggaeton/Dembow/Salsa, Forró/Piseiro/Brega",Ritmo/Instrumental/Beat,Não me identifico,Poucos gêneros,Menos de 1 hora por dia,"Spotify, Apple Music e outras plataformas musicais.",Raramente,Ambos
5/3/2026 14:04:30,16-18,Feminino,Centro-Oeste,Sertanejo/Sertanejo Universitário,"Sertanejo/Sertanejo Universitário, Funk, Eletrônica/Dubstep/Techno/EDM",Rock/Metal,Ritmo/Instrumental/Beat,Não me identifico,Vários gêneros,2-4 horas,"Spotify, Apple Music e outras plataformas musicais.",Frequentemente,Ambos
5/3/2026 14:05:01,16-18,Masculino,Centro-Oeste,Sertanejo/Sertanejo Universitário,"Sertanejo/Sertanejo Universitário, Rap/Trap/Hip Hop",Rock/Metal,Ritmo/Instrumental/Beat,Letra,Vários gêneros,1-2 horas,Tiktok,As vezes,Ambos
5/3/2026 14:07:25,16-18,Feminino,Centro-Oeste,MPB,"Sertanejo/Sertanejo Universitário, Funk, Rap/Trap/Hip Hop, Latina/Reggaeton/Dembow/Salsa, Jazz/Blues","Rock/Metal, Clássica/Instrumental",Letra,Influência religiosa,Vários gêneros,2-4 horas,Tiktok,As vezes,Internacionais
5/3/2026 14:09:19,16-18,Feminino,Centro-Oeste,Rap/Trap/Hip Hop,"Rap/Trap/Hip Hop, Gospel/Religiosa, MPB","Rock/Metal, Indie/Alternativo",Emoção que transmite,Não me identifico,Poucos gêneros,1-2 horas,Tiktok,As vezes,Nacionais
5/3/2026 14:09:44,45+,Feminino,Centro-Oeste,MPB,MPB,MPB,Letra,Letra,Vários gêneros,2-4 horas,"Spotify, Apple Music e outras plataformas musicais.",As vezes,Ambos
5/3/2026 14:10:53,16-18,Feminino,Centro-Oeste,Sertanejo/Sertanejo Universitário,"Sertanejo/Sertanejo Universitário, Funk, Forró/Piseiro/Brega","Rap/Trap/HipHop, Rock/Metal, Eletrônica/Dubstep/Techno/EDM, Indie/Alternativo, Jazz/Blues",Emoção que transmite,Não me identifico,Vários gêneros,2-4 horas,Tiktok,Frequentemente,Ambos
5/3/2026 14:11:04,25-34,Feminino,Sudeste,Rock/Metal,"Rock/Metal, Pop, Eletrônica/Dubstep/Techno/EDM, MPB","Sertanejo/Sertanejo Universitário, Funk, Forró/Piseiro/Brega",Ritmo/Instrumental/Beat,Ritmo/Instrumental/Beat,Vários gêneros,Mais de 4 horas,Youtube,Frequentemente,Internacionais
5/3/2026 14:11:12,16-18,Feminino,Centro-Oeste,Pop,"Rock/Metal, Pop, MPB, Indie/Alternativo, Jazz/Blues","Sertanejo/Sertanejo Universitário, Rap/Trap/HipHop, Gospel/Religiosa",Ritmo/Instrumental/Beat,Não me identifico,Vários gêneros,Menos de 1 hora por dia,Tiktok,Raramente,Ambos
5/3/2026 14:15:40,15 anos ou menos.,Feminino,Centro-Oeste,Sertanejo/Sertanejo Universitário,"Sertanejo/Sertanejo Universitário, Funk, Gospel/Religiosa, Pagode/Samba",Rock/Metal,Ritmo/Instrumental/Beat,Não me identifico,Poucos gêneros,1-2 horas,Tiktok,Raramente,Nacionais
5/3/2026 14:16:43,16-18,Feminino,Centro-Oeste,Rap/Trap/Hip Hop,"Rap/Trap/Hip Hop, Pop",MPB,Ritmo/Instrumental/Beat,Ritmo/Instrumental/Beat,Vários gêneros,1-2 horas,"Spotify, Apple Music e outras plataformas musicais.",Frequentemente,Internacionais
5/3/2026 14:21:26,16-18,Feminino,Centro-Oeste,Gospel/Religiosa,"Pop, Eletrônica/Dubstep/Techno/EDM, Latina/Reggaeton/Dembow/Salsa, Clássica/Instrumental","Funk, Rock/Metal, Indie/Alternativo",Letra,Não gosto dos artistas do gênero,Poucos gêneros,Menos de 1 hora por dia,Tiktok,As vezes,Ambos
5/3/2026 14:24:25,19-24,Masculino,Sudeste,Pop,"Rap/Trap/Hip Hop, Pagode/Samba, Jazz/Blues","Latina/Reggaeton/Dembow/Salsa, Clássica/Instrumental",Influência cultural,Não me identifico,Vários gêneros,Menos de 1 hora por dia,"Spotify, Apple Music e outras plataformas musicais.",As vezes,Ambos
5/3/2026 14:30:02,35-44,Feminino,Sudeste,Sertanejo/Sertanejo Universitário,Sertanejo/Sertanejo Universitário,"Rap/Trap/HipHop, Indie/Alternativo",Emoção que transmite,Não gosto dos artistas do gênero,Vários gêneros,Menos de 1 hora por dia,"Spotify, Apple Music e outras plataformas musicais.",As vezes,Ambos
5/3/2026 14:42:20,35-44,Feminino,Sudeste,Sertanejo/Sertanejo Universitário,"Sertanejo/Sertanejo Universitário, MPB","Funk, Rap/Trap/HipHop",Afinidade com artistas do gênero,Letra,Vários gêneros,Menos de 1 hora por dia,Amigos/Familiares,As vezes,Nacionais
5/3/2026 15:04:22,45+,Feminino,Centro-Oeste,Gosto de tudo um pouco,Sertanejo/Sertanejo Universitário,Funk,Letra,Letra,Vários gêneros,2-4 horas,Rádio,As vezes,Ambos
5/3/2026 15:08:39,45+,Feminino,Centro-Oeste,Pagode/Samba,"Sertanejo/Sertanejo Universitário, Pagode/Samba, Jazz/Blues, Clássica/Instrumental","Sertanejo/Sertanejo Universitário, Funk, Rap/Trap/HipHop, Rock/Metal, Pop, Eletrônica/Dubstep/Techno/EDM, Gospel/Religiosa, Pagode/Samba, Forró/Piseiro/Brega, Jazz/Blues, Clássica/Instrumental",Letra,Letra,Vários gêneros,2-4 horas,Rádio,As vezes,Ambos
5/3/2026 15:08:53,19-24,Feminino,Sudeste,Rock/Metal,"Rock/Metal, Pop, MPB, Clássica/Instrumental","Sertanejo/Sertanejo Universitário, Funk, Gospel/Religiosa",Emoção que transmite,Não me identifico,Poucos gêneros,1-2 horas,Youtube,As vezes,Ambos
5/3/2026 15:10:49,16-18,Feminino,Sul,Sertanejo/Sertanejo Universitário,"Sertanejo/Sertanejo Universitário, Funk, Eletrônica/Dubstep/Techno/EDM","Rap/Trap/HipHop, Forró/Piseiro/Brega",Ritmo/Instrumental/Beat,Letra,Vários gêneros,Mais de 4 horas,"Spotify, Apple Music e outras plataformas musicais.",As vezes,Internacionais
5/3/2026 15:18:27,16-18,Feminino,Centro-Oeste,Pop,"Funk, Rap/Trap/Hip Hop, Rock/Metal, Pop, Eletrônica/Dubstep/Techno/EDM, MPB, Pagode/Samba, Latina/Reggaeton/Dembow/Salsa, Indie/Alternativo","Sertanejo/Sertanejo Universitário, Gospel/Religiosa, Forró/Piseiro/Brega",Ritmo/Instrumental/Beat,Ritmo/Instrumental/Beat,Vários gêneros,Mais de 4 horas,"Spotify, Apple Music e outras plataformas musicais.",As vezes,Ambos
5/3/2026 15:41:42,16-18,Masculino,Centro-Oeste,Gospel/Religiosa,"Pop, Gospel/Religiosa, MPB, Indie/Alternativo","Sertanejo/Sertanejo Universitário, Funk, Rap/Trap/HipHop, Eletrônica/Dubstep/Techno/EDM, Latina/Reggaeton/Dembow/Salsa, Forró/Piseiro/Brega",Ritmo/Instrumental/Beat,Letra,Poucos gêneros,1-2 horas,"Spotify, Apple Music e outras plataformas musicais.",Frequentemente,Ambos
5/3/2026 16:12:17,16-18,Feminino,Centro-Oeste,Sertanejo/Sertanejo Universitário,"Sertanejo/Sertanejo Universitário, Funk, Rap/Trap/Hip Hop, Eletrônica/Dubstep/Techno/EDM, Pagode/Samba, Latina/Reggaeton/Dembow/Salsa, Forró/Piseiro/Brega","Gospel/Religiosa, MPB, Indie/Alternativo, Jazz/Blues",Ritmo/Instrumental/Beat,Não me identifico,Vários gêneros,2-4 horas,"Spotify, Apple Music e outras plataformas musicais.",Frequentemente,Ambos
5/3/2026 16:48:08,15 anos ou menos.,Feminino,Sudeste,Rock/Metal,"Rock/Metal, Pop, Indie/Alternativo","Gospel/Religiosa, Forró/Piseiro/Brega, Clássica/Instrumental",Emoção que transmite,Não me identifico,Vários gêneros,1-2 horas,"Spotify, Apple Music e outras plataformas musicais.",Frequentemente,Internacionais
5/3/2026 16:48:38,35-44,Feminino,Sudeste,Rock/Metal,"Rock/Metal, Eletrônica/Dubstep/Techno/EDM, MPB, Latina/Reggaeton/Dembow/Salsa, Indie/Alternativo, Jazz/Blues, Clássica/Instrumental",Funk,Ritmo/Instrumental/Beat,Letra,Vários gêneros,2-4 horas,Youtube,Frequentemente,Ambos
5/3/2026 17:16:18,45+,Feminino,Sudeste,MPB,"Sertanejo/Sertanejo Universitário, Gospel/Religiosa, MPB, Pagode/Samba, Forró/Piseiro/Brega, Jazz/Blues, Clássica/Instrumental","Funk, Rock/Metal, Eletrônica/Dubstep/Techno/EDM",Emoção que transmite,Letra,Vários gêneros,Menos de 1 hora por dia,Amigos/Familiares,Frequentemente,Ambos
5/3/2026 18:58:32,16-18,Feminino,Centro-Oeste,Pop,"Sertanejo/Sertanejo Universitário, Rap/Trap/Hip Hop, Rock/Metal, Pop, Gospel/Religiosa, MPB, Pagode/Samba, Latina/Reggaeton/Dembow/Salsa, Indie/Alternativo","Funk, Rock/Metal",Ritmo/Instrumental/Beat,Não me identifico,Vários gêneros,Mais de 4 horas,Tiktok,As vezes,Ambos
5/3/2026 21:23:42,45+,Feminino,Centro-Oeste,MPB,"Gospel/Religiosa, MPB, Clássica/Instrumental","Sertanejo/Sertanejo Universitário, Funk, Rap/Trap/HipHop, Forró/Piseiro/Brega",Letra,Letra,Poucos gêneros,Menos de 1 hora por dia,Youtube,Raramente,Nacionais
5/3/2026 21:59:10,16-18,Feminino,Centro-Oeste,Indie/Alternativo,"Sertanejo/Sertanejo Universitário, Rock/Metal, Pop, MPB, Indie/Alternativo",Gospel/Religiosa,Ritmo/Instrumental/Beat,Não me identifico,Vários gêneros,1-2 horas,Amigos/Familiares,As vezes,Ambos
5/3/2026 22:23:20,16-18,Feminino,Centro-Oeste,Indie/Alternativo,"Funk, Rap/Trap/Hip Hop, Rock/Metal, Pop, Indie/Alternativo","Sertanejo/Sertanejo Universitário, Gospel/Religiosa",Ritmo/Instrumental/Beat,Influência religiosa,Vários gêneros,1-2 horas,"Spotify, Apple Music e outras plataformas musicais.",Frequentemente,Ambos
5/4/2026 7:10:28,25-34,Feminino,Sudeste,Forró/Piseiro/Brega,"Sertanejo/Sertanejo Universitário, Funk, Gospel/Religiosa, Forró/Piseiro/Brega","Rap/Trap/HipHop, Rock/Metal, Pop, Eletrônica/Dubstep/Techno/EDM, MPB, Latina/Reggaeton/Dembow/Salsa, Indie/Alternativo, Jazz/Blues",Ritmo/Instrumental/Beat,Não me identifico,Vários gêneros,Menos de 1 hora por dia,Tiktok,As vezes,Ambos
5/4/2026 8:05:11,25-34,Feminino,Centro-Oeste,Gospel/Religiosa,"Sertanejo/Sertanejo Universitário, Eletrônica/Dubstep/Techno/EDM, Pagode/Samba","Rock/Metal, Jazz/Blues",Influência religiosa,Opinião negativa de outras pessoas,Poucos gêneros,Menos de 1 hora por dia,Igreja,As vezes,Ambos
5/4/2026 8:06:18,25-34,Masculino,Centro-Oeste,Sertanejo/Sertanejo Universitário,"Gospel/Religiosa, Pagode/Samba, Forró/Piseiro/Brega","Indie/Alternativo, Jazz/Blues, Clássica/Instrumental",Influência cultural,Não me identifico,Poucos gêneros,1-2 horas,"Spotify, Apple Music e outras plataformas musicais.",As vezes,Nacionais
5/4/2026 8:16:38,45+,Feminino,Sul,Gospel/Religiosa,"Gospel/Religiosa, MPB","Funk, Rap/Trap/HipHop",Letra,Letra,Poucos gêneros,Menos de 1 hora por dia,Amigos/Familiares,As vezes,Ambos
5/4/2026 8:18:40,45+,Feminino,Centro-Oeste,Gospel/Religiosa,"Gospel/Religiosa, Clássica/Instrumental","Funk, Rap/Trap/HipHop, Rock/Metal, Eletrônica/Dubstep/Techno/EDM",Letra,Não me identifico,Vários gêneros,Menos de 1 hora por dia,"Spotify, Apple Music e outras plataformas musicais.",Frequentemente,Ambos
5/4/2026 8:21:48,45+,Masculino,Sudeste,Gospel/Religiosa,"Sertanejo/Sertanejo Universitário, Gospel/Religiosa","Funk, Rap/Trap/HipHop, Rock/Metal, Pop, Eletrônica/Dubstep/Techno/EDM, Latina/Reggaeton/Dembow/Salsa, Indie/Alternativo",Influência religiosa,Letra,Poucos gêneros,Menos de 1 hora por dia,"Spotify, Apple Music e outras plataformas musicais.",Nunca,Nacionais
5/4/2026 8:22:08,45+,Feminino,Centro-Oeste,Gospel/Religiosa,Gospel/Religiosa,"Funk, Rap/Trap/HipHop, Rock/Metal",Letra,Letra,Vários gêneros,Menos de 1 hora por dia,Amigos/Familiares,Raramente,Nacionais
5/4/2026 8:31:18,35-44,Masculino,Centro-Oeste,Rock/Metal,"Sertanejo/Sertanejo Universitário, Rock/Metal, Pop, MPB, Pagode/Samba, Latina/Reggaeton/Dembow/Salsa, Indie/Alternativo, Jazz/Blues","Funk, Rap/Trap/HipHop",Emoção que transmite,Letra,Vários gêneros,1-2 horas,Rádio,As vezes,Ambos
5/4/2026 8:35:46,45+,Masculino,Sudeste,MPB,"Sertanejo/Sertanejo Universitário, MPB","Funk, Rap/Trap/HipHop",Letra,Ritmo/Instrumental/Beat,Poucos gêneros,Menos de 1 hora por dia,Rádio,Raramente,Nacionais
5/4/2026 8:41:00,45+,Masculino,Centro-Oeste,Gospel/Religiosa,Gospel/Religiosa,"Funk, Rap/Trap/HipHop, Rock/Metal, Eletrônica/Dubstep/Techno/EDM",Influência religiosa,Letra,Apenas um gênero,2-4 horas,Youtube,Raramente,Ambos
5/4/2026 8:44:01,45+,Feminino,Sudeste,Gospel/Religiosa,Gospel/Religiosa,Funk,Letra,Letra,Poucos gêneros,Menos de 1 hora por dia,Youtube,As vezes,Nacionais
5/4/2026 8:46:19,45+,Masculino,Sudeste,Gospel/Religiosa,Gospel/Religiosa,"Sertanejo/Sertanejo Universitário, Funk, Rap/Trap/HipHop, Rock/Metal, Pop, Eletrônica/Dubstep/Techno/EDM, MPB, Pagode/Samba, Latina/Reggaeton/Dembow/Salsa, Forró/Piseiro/Brega, Indie/Alternativo, Jazz/Blues",Letra,Letra,Apenas um gênero,1-2 horas,Igreja ,Raramente,Nacionais
5/4/2026 9:10:57,45+,Masculino,Centro-Oeste,Gospel/Religiosa,Gospel/Religiosa,"Sertanejo/Sertanejo Universitário, Funk, Rap/Trap/HipHop, Rock/Metal, Pop, Eletrônica/Dubstep/Techno/EDM, MPB, Pagode/Samba, Latina/Reggaeton/Dembow/Salsa, Forró/Piseiro/Brega, Indie/Alternativo, Clássica/Instrumental",Influência religiosa,Não me identifico,Apenas um gênero,Menos de 1 hora por dia,Youtube,As vezes,Ambos
5/4/2026 9:25:51,45+,Masculino,Centro-Oeste,Eletrônica/Dubstep/Techno/EDM,Eletrônica/Dubstep/Techno/EDM,"Funk, Rap/Trap/HipHop",Ritmo/Instrumental/Beat,Letra,Vários gêneros,1-2 horas,"Spotify, Apple Music e outras plataformas musicais.",Frequentemente,Ambos
5/4/2026 9:37:03,45+,Feminino,Centro-Oeste,Gospel/Religiosa,Gospel/Religiosa,"Sertanejo/Sertanejo Universitário, Funk, Rap/Trap/HipHop, Rock/Metal, Eletrônica/Dubstep/Techno/EDM, Pagode/Samba, Latina/Reggaeton/Dembow/Salsa, Forró/Piseiro/Brega, Indie/Alternativo, Jazz/Blues",Letra,Letra,Poucos gêneros,1-2 horas,"Spotify, Apple Music e outras plataformas musicais.",As vezes,Ambos
